Eligibile_Status,Successful_Flight,Unsuccessful_Flight,Unsuccessful_Flight_Indicator,Unsuccessful_PAX_Indicator,Eligible_Biometric_DEP_INTL_PAX_Indicator,Eligible_Biometric_Flight_Indicator,Eligible_Biometric_DEP_INTL_PAX,Total_Flights,Eligible_Biometric_Flight,new_start_date_date_format,Total_DEP_INTL_Pax,Gate_Ref,host_carrier_code,flight_number,Origin,scheduled_arrival_station_code,Date,scheduled_departure_time_local,departure_gate,new_Gate_Ref,new_Start_Date,Biometric_Flights,Biometric_Passengers_Matched,BCR,%_Eligible_Flights,Usage_on_Eligible_Flights,BCR_on_Eligible_Flights,Max_acheviable_BCR,Flight_Saturation
Unsuccessful,,Unsuccessful,1,80,80,1,80,1,1,2021-01-02,80,SFOG1,UA,412,SFO,MEX,2023-04-18,22:45,G1,SFOG1,2021-01-02,0,0,0.0,1.0,0.0,0.0,1.0,0.0
Successful,Successful,,0,152,237,1,237,1,1,2021-01-02,237,SFOG2,UA,863,SFO,SYD,2023-04-10,22:45,G2,SFOG2,2021-01-02,1,85,0.35864979,1.0,1.0,0.35864979,1.0,1.0
Successful,Successful,,0,23,195,1,195,1,1,2021-01-02,195,SFOG1,UA,930,SFO,LHR,2023-04-11,19:50,G1,SFOG1,2021-01-02,1,172,0.88205128,1.0,1.0,0.88205128,1.0,1.0
Successful,Successful,,0,26,234,1,234,1,1,2021-01-02,234,SFOG1,UA,990,SFO,CDG,2023-04-20,14:35,G1,SFOG1,2021-01-02,1,208,0.88888889,1.0,1.0,0.88888889,1.0,1.0
Unsuccessful,,Unsuccessful,1,257,257,1,257,1,1,2021-01-02,257,SFOG1,UA,917,SFO,AKL,2023-04-06,23:00,G1,SFOG1,2021-01-02,0,0,0.0,1.0,0.0,0.0,1.0,0.0
Unsuccessful,,Unsuccessful,1,121,121,1,121,1,1,2021-01-02,121,SFOG1,UA,1145,SFO,CUN,2023-04-17,23:16,G1,SFOG1,2021-01-02,0,0,0.0,1.0,0.0,0.0,1.0,0.0
Successful,Successful,,0,8,122,1,122,1,1,2021-01-02,122,SFOG2,UA,115,SFO,PPT,2023-04-28,13:20,G2,SFOG2,2021-01-02,1,114,0.93442623,1.0,1.0,0.93442623,1.0,1.0
Successful,Successful,,0,14,206,1,206,1,1,2021-01-02,206,SFOG2,UA,194,SFO,MUC,2023-04-02,13:25,G2,SFOG2,2021-01-02,1,192,0.93203883,1.0,1.0,0.93203883,1.0,1.0
Successful,Successful,,0,32,269,1,269,1,1,2021-01-02,269,SFOG12,UA,194,SFO,MUC,2023-04-15,13:25,G12,SFOG12,2021-01-02,1,237,0.88104089,1.0,1.0,0.88104089,1.0,1.0
Successful,Successful,,0,13,169,1,169,1,1,2021-01-02,169,SFOG6,UA,29,SFO,SIN,2023-04-24,10:50,G6,SFOG6,2021-01-02,1,156,0.92307692,1.0,1.0,0.92307692,1.0,1.0
